Image,MSE_Gaussian,PSNR_Gaussian,MSE_Median,PSNR_Median
1.pgm,152.5663,26.296217469105553,226.2613,24.584700828023955
2.pgm,101.0587,28.085066536118276,140.2456,26.661911160783625
3.pgm,109.8446,27.723016491593697,146.423,26.47471060180177
4.pgm,142.9572,26.57874327501114,214.5408,24.815704651402154
5.pgm,141.634,26.619128402831382,219.2219,24.721964234001646
6.pgm,108.1248,27.791550437150555,147.9276,26.43031149620029
7.pgm,89.4547,28.614771972899344,124.1278,27.192113027011573
8.pgm,101.4753,28.067200169352322,144.2389,26.53997959173474
9.pgm,114.1416,27.556364048128405,156.3464,26.189924751491098
10.pgm,105.4225,27.901470499628758,135.1197,26.823616885477733
1.pgm,98.3514,28.20299814528699,141.795,26.614194439185674
2.pgm,97.3966,28.245365644308897,139.7354,26.677739184108628
3.pgm,81.5079,29.018806569115704,107.7004,27.80863044594347
4.pgm,81.9293,28.996411165838353,107.2751,27.825814328211784
5.pgm,99.6734,28.145010879580905,139.4595,26.686322570593166
6.pgm,97.2814,28.25050548858046,126.1807,27.120874284993715
7.pgm,97.7995,28.227437264054217,133.4517,26.8775625036584
8.pgm,88.8817,28.642680083019016,119.1544,27.369702767499486
9.pgm,92.7071,28.459673648815205,126.3852,27.113841408349813
10.pgm,100.6196,28.103977743554026,134.2622,26.851266016773415
1.pgm,89.6708,28.60429316523981,127.9217,27.061361385872566
2.pgm,85.9769,28.786985788118006,117.0404,27.447445634931718
3.pgm,82.2547,28.979196381273866,115.5989,27.501266593630113
4.pgm,90.1061,28.5832616803907,124.7946,27.16884567516225
5.pgm,84.7457,28.849626895520714,118.9423,27.37744028624522
6.pgm,81.5435,29.016910126177905,116.6684,27.46127118910069
7.pgm,87.5928,28.70611951603715,118.0407,27.410485845974613
8.pgm,81.6763,29.009843052217104,113.857,27.567206243979175
9.pgm,85.1371,28.829615080200682,121.3922,27.288895786244503
10.pgm,83.2253,28.928249915467482,111.9916,27.638949115053858
1.pgm,98.2597,28.207049270261955,137.6834,26.741987788025725
2.pgm,93.0916,28.441698661189267,133.997,26.859852856227327
3.pgm,98.0136,28.217940199186845,136.7402,26.77184150092301
4.pgm,75.1747,29.370086572327615,99.9356,28.133601366117183
5.pgm,75.7557,29.336650453382582,100.6239,28.103792150849422
6.pgm,95.0504,28.351264120238685,140.4915,26.65430311464999
